interaction_id,customer_id,customer_name,touchpoint,mode,interaction_type,product_id,product_name,category,personalized,recommendation_accepted,engagement_seconds,interaction_date,region
INT-000018,CUST-0168,Anna Key,Store,Offline,Recommendation Click,PROD-STA-006,Stapler,Stationery,True,True,122,2024-12-01,Europe
INT-000019,CUST-0121,Derrick Saunders,Email,Online,Recommendation Click,PROD-FUR-006,Office Desk,Furniture,False,False,112,2024-03-07,North America
INT-000020,CUST-0098,Michael Alexander,Web,Online,Search,,,,False,False,121,2024-01-09,Asia Pacific
INT-000021,CUST-0463,Jesse Martin,Store,Offline,Search,,,,True,False,111,2024-01-25,North America
INT-000022,CUST-0498,Joseph Buchanan,Web,Online,Browse,,,,True,False,120,2024-12-07,Europe
INT-000023,CUST-0008,Sarah Conrad,Web,Online,Browse,PROD-ELE-007,HDMI Cable,Electronics,False,False,123,2024-07-04,Europe
INT-000024,CUST-0495,Amanda Gomez,Email,Online,Recommendation Click,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,117,2024-02-18,Europe
INT-000025,CUST-0293,Joseph Jones,Store,Offline,Store Visit,,,,True,False,124,2024-09-21,North America
INT-000026,CUST-0084,Tracy Nelson,Mobile App,Online,Store Visit,,,,False,False,119,2024-11-05,Europe
INT-000027,CUST-0010,Grant Olson,Web,Online,Recommendation Click,PROD-STA-000,Notebook A5,Stationery,False,False,134,2024-07-13,Europe
INT-000028,CUST-0068,Michael Medina,Mobile App,Online,Search,,,,False,False,111,2024-08-26,North America
INT-000029,CUST-0528,Chad Frost,Store,Offline,Recommendation Click,PROD-ELE-001,Mechanical Keyboard,Electronics,True,False,114,2024-11-30,North America
INT-000030,CUST-0552,Christine Clark,Web,Online,Browse,PROD-STA-004,Document Folder,Stationery,True,True,96,2024-01-08,North America
INT-000031,CUST-0590,Matthew Johnson,Store,Offline,Search,,,,False,False,93,2024-07-03,North America
INT-000032,CUST-0569,Katherine Nelson,Web,Online,Browse,PROD-STA-001,Ballpoint Pen Pack,Stationery,True,False,103,2024-02-09,Europe
INT-000033,CUST-0031,Kyle Howell,Social Media,Online,Browse,,,,False,False,131,2024-08-17,Asia Pacific
INT-000034,CUST-0385,Jennifer Anderson,Call Center,Offline,Browse,PROD-FUR-007,Side Table,Furniture,False,False,116,2024-11-09,Europe
INT-000035,CUST-0099,Jill Richardson,Web,Online,Browse,PROD-STA-002,Highlighter Set,Stationery,True,False,114,2024-03-07,North America
INT-000036,CUST-0411,Adam Jones,Web,Online,Store Visit,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,133,2024-04-30,Asia Pacific
INT-000037,CUST-0043,James Garner,Email,Online,Add To Cart,,,,True,False,134,2024-04-15,Europe
INT-000038,CUST-0348,David Green,Store,Offline,Browse,,,,True,False,131,2024-01-31,Europe
INT-000039,CUST-0054,Jessica Ramsey,Call Center,Offline,Recommendation Click,PROD-ELE-006,Laptop Stand,Electronics,True,False,108,2024-01-03,Asia Pacific
INT-000040,CUST-0343,Brian Reyes,Mobile App,Online,Add To Cart,,,,False,False,123,2024-11-05,Europe
INT-000041,CUST-0071,Traci Martin,Web,Online,Browse,PROD-FUR-006,Office Desk,Furniture,False,False,115,2024-10-10,Europe
INT-000042,CUST-0319,Erin Suarez,Call Center,Offline,Browse,PROD-ELE-007,HDMI Cable,Electronics,True,False,118,2024-02-16,North America
INT-000043,CUST-0437,Charles Hendricks,Mobile App,Online,Store Visit,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,105,2024-05-17,Europe
INT-000044,CUST-0019,Mr. Bryan Bailey,Store,Offline,Browse,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,132,2024-12-20,Europe
INT-000045,CUST-0275,Darren Henderson,Mobile App,Online,Search,,,,True,False,135,2024-10-11,Asia Pacific
INT-000046,CUST-0502,Eric Wood,Web,Online,Store Visit,PROD-STA-006,Stapler,Stationery,False,False,106,2024-02-03,Europe
INT-000047,CUST-0545,Alison Andrews,Web,Online,Support Chat,PROD-ELE-000,Wireless Mouse,Electronics,True,False,131,2024-04-15,Europe
INT-000048,CUST-0509,Alison Snyder,Web,Online,Recommendation Click,,,,False,False,132,2024-06-15,Asia Pacific
INT-000049,CUST-0121,Derrick Saunders,Web,Online,Add To Cart,PROD-ELE-002,USB-C Hub,Electronics,True,False,109,2024-11-07,Europe
INT-000050,CUST-0305,Erika Patterson,Store,Offline,Store Visit,PROD-ELE-001,Mechanical Keyboard,Electronics,True,False,127,2024-05-15,Europe
INT-000051,CUST-0055,Keith Brown,Web,Online,Store Visit,,,,False,False,122,2024-03-31,North America
INT-000052,CUST-0567,Shawn Clark,Web,Online,Add To Cart,PROD-STA-002,Highlighter Set,Stationery,True,False,117,2024-12-10,Europe
INT-000053,CUST-0056,Mario Thompson,Web,Online,Browse,PROD-ELE-007,HDMI Cable,Electronics,False,False,124,2024-02-26,North America
INT-000054,CUST-0245,Jacob Walker,Web,Online,Add To Cart,PROD-ELE-007,HDMI Cable,Electronics,False,False,110,2024-06-02,North America
INT-000055,CUST-0352,Gina Griffin,Mobile App,Online,Recommendation Click,PROD-STA-007,Paper Clips Box,Stationery,False,False,121,2024-07-12,Europe
INT-000056,CUST-0375,Brenda Collins,Mobile App,Online,Add To Cart,,,,False,False,120,2024-04-08,Europe
INT-000057,CUST-0479,Jacob Gardner,Web,Online,Recommendation Click,PROD-ELE-001,Mechanical Keyboard,Electronics,False,False,97,2024-01-27,North America
INT-000058,CUST-0039,Pamela Rush,Web,Online,Browse,PROD-FUR-001,Monitor Arm,Furniture,False,False,133,2024-09-16,North America
INT-000059,CUST-0092,Mr. John Jones,Store,Offline,Browse,,,,False,False,129,2024-10-09,North America
INT-000060,CUST-0412,Brett Oliver,Store,Offline,Search,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,108,2024-03-17,Europe
INT-000061,CUST-0120,Brian Peck,Email,Online,Store Visit,,,,True,False,116,2024-11-03,Europe
INT-000062,CUST-0551,Cheryl Hall,Call Center,Offline,Search,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,94,2024-03-11,North America
INT-000063,CUST-0175,Jeremiah Callahan,Mobile App,Online,Add To Cart,PROD-ELE-006,Laptop Stand,Electronics,False,False,124,2024-03-30,North America
INT-000064,CUST-0434,Jonathon Moore,Store,Offline,Recommendation Click,PROD-STA-000,Notebook A5,Stationery,True,False,119,2024-09-09,North America
INT-000065,CUST-0511,Leslie Wells,Mobile App,Online,Support Chat,,,,True,False,121,2024-01-09,Europe
INT-000066,CUST-0239,Ruth Myers,Email,Online,Wishlist Add,PROD-ELE-007,HDMI Cable,Electronics,True,False,118,2024-03-11,North America
INT-000067,CUST-0102,Jason Hart,Mobile App,Online,Browse,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,124,2024-12-26,North America
INT-000068,CUST-0456,Donald Ellis,Email,Online,Recommendation Click,,,,False,False,104,2024-10-23,Asia Pacific
INT-000069,CUST-0264,Dr. Robert Howard Jr.,Mobile App,Online,Wishlist Add,,,,True,False,128,2024-01-02,Asia Pacific
INT-000070,CUST-0074,Kathryn Thompson,Web,Online,Recommendation Click,,,,False,False,130,2024-03-22,North America
INT-000071,CUST-0333,Theodore Mcdonald,Email,Online,Support Chat,PROD-ELE-001,Mechanical Keyboard,Electronics,True,True,126,2024-05-16,Asia Pacific
INT-000072,CUST-0236,Elizabeth Campbell,Call Center,Offline,Support Chat,PROD-FUR-003,Bookshelf,Furniture,True,False,133,2024-12-14,Europe
INT-000073,CUST-0308,Greg Ramirez,Store,Offline,Browse,,,,False,False,111,2024-07-10,North America
INT-000074,CUST-0208,Tiffany Pearson,Email,Online,Browse,PROD-ELE-002,USB-C Hub,Electronics,False,False,109,2024-04-10,Europe
INT-000075,CUST-0320,Sharon Hensley,Web,Online,Recommendation Click,PROD-FUR-007,Side Table,Furniture,True,True,127,2024-01-23,Asia Pacific
INT-000076,CUST-0235,Kimberly Fleming,Email,Online,Search,PROD-ELE-001,Mechanical Keyboard,Electronics,True,True,118,2024-01-25,North America
INT-000077,CUST-0577,Vanessa Gonzalez,Web,Online,Search,PROD-FUR-002,Ergonomic Chair,Furniture,True,False,111,2024-11-22,Asia Pacific
INT-000078,CUST-0545,Alison Andrews,Mobile App,Online,Recommendation Click,PROD-ELE-000,Wireless Mouse,Electronics,True,False,107,2024-04-19,Europe
INT-000079,CUST-0351,Stacey Newman,Web,Online,Add To Cart,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,130,2024-03-03,Europe
INT-000080,CUST-0337,Christine Lowe,Web,Online,Wishlist Add,PROD-FUR-006,Office Desk,Furniture,True,False,104,2024-06-07,Asia Pacific
INT-000081,CUST-0158,Mr. Gregory Guerra,Web,Online,Browse,PROD-STA-004,Document Folder,Stationery,True,True,116,2024-11-24,North America
INT-000082,CUST-0418,Steven Washington,Web,Online,Search,PROD-ELE-003,Bluetooth Headphones,Electronics,True,False,120,2024-01-01,North America
INT-000083,CUST-0317,Perry Brooks,Mobile App,Online,Recommendation Click,PROD-ELE-006,Laptop Stand,Electronics,True,False,126,2024-09-29,Asia Pacific
INT-000084,CUST-0198,Stephanie Smith,Social Media,Online,Browse,,,,True,True,87,2024-09-15,North America
INT-000085,CUST-0372,John Pruitt,Web,Online,Add To Cart,,,,True,False,124,2024-11-24,Europe
INT-000086,CUST-0463,Jesse Martin,Email,Online,Browse,PROD-FUR-007,Side Table,Furniture,False,False,115,2024-08-08,Asia Pacific
INT-000087,CUST-0177,Bradley Delgado Jr.,Web,Online,Recommendation Click,PROD-ELE-005,Portable SSD,Electronics,True,True,127,2024-04-20,Europe
INT-000088,CUST-0443,Jonathan Johnson,Web,Online,Support Chat,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,108,2024-02-22,Europe
INT-000089,CUST-0332,Alejandro Barker,Social Media,Online,Browse,PROD-FUR-007,Side Table,Furniture,True,False,135,2024-03-01,North America
INT-000090,CUST-0373,Jeffrey Smith,Web,Online,Browse,PROD-STA-000,Notebook A5,Stationery,False,False,111,2024-08-30,Europe
INT-000091,CUST-0315,Christine Martin,Web,Online,Add To Cart,PROD-STA-001,Ballpoint Pen Pack,Stationery,False,False,122,2024-09-19,Europe
INT-000092,CUST-0590,Matthew Johnson,Mobile App,Online,Add To Cart,,,,False,False,117,2024-10-09,North America
INT-000093,CUST-0533,Cheryl Nelson,Mobile App,Online,Wishlist Add,,,,True,True,110,2024-11-18,North America
INT-000094,CUST-0440,Sharon Edwards,Email,Online,Search,,,,False,False,130,2024-06-11,Europe
INT-000095,CUST-0062,Anthony Martinez,Email,Online,Support Chat,PROD-ELE-000,Wireless Mouse,Electronics,False,False,116,2024-03-15,Europe
INT-000096,CUST-0208,Tiffany Pearson,Email,Online,Search,PROD-STA-006,Stapler,Stationery,True,False,141,2024-01-25,North America
INT-000097,CUST-0118,Jeffrey English,Mobile App,Online,Search,PROD-ELE-007,HDMI Cable,Electronics,True,False,111,2024-09-07,North America
INT-000098,CUST-0286,Shannon Barnes,Call Center,Offline,Support Chat,PROD-ELE-004,Webcam 1080p,Electronics,False,False,119,2024-02-16,North America
INT-000099,CUST-0027,Matthew Mccann,Mobile App,Online,Store Visit,PROD-FUR-005,Desk Lamp,Furniture,True,True,100,2024-02-10,Europe
INT-000100,CUST-0489,Allison Lopez,Web,Online,Add To Cart,PROD-FUR-004,Filing Cabinet,Furniture,False,False,108,2024-06-15,North America
INT-000101,CUST-0096,Sherry Torres,Email,Online,Add To Cart,PROD-FUR-004,Filing Cabinet,Furniture,True,False,129,2024-05-15,Europe
INT-000102,CUST-0436,Glenn Lam,Social Media,Online,Browse,PROD-ELE-002,USB-C Hub,Electronics,False,False,108,2024-01-23,Asia Pacific
INT-000103,CUST-0269,Rachael Lowe,Web,Online,Recommendation Click,,,,True,False,111,2024-04-18,Asia Pacific
INT-000104,CUST-0096,Sherry Torres,Social Media,Online,Support Chat,PROD-ELE-006,Laptop Stand,Electronics,False,False,121,2024-06-28,Europe
INT-000105,CUST-0053,Mark Rivera,Web,Online,Browse,,,,True,False,110,2024-06-25,Asia Pacific
INT-000106,CUST-0000,Jordan Martin,Web,Online,Browse,PROD-ELE-007,HDMI Cable,Electronics,False,False,117,2024-08-29,Asia Pacific
INT-000107,CUST-0112,Kayla Barnes,Social Media,Online,Recommendation Click,PROD-FUR-004,Filing Cabinet,Furniture,False,False,115,2024-02-25,Europe
INT-000108,CUST-0032,Elizabeth Santos,Web,Online,Recommendation Click,,,,True,False,118,2024-10-01,Europe
INT-000109,CUST-0526,Christopher Soto,Web,Online,Store Visit,PROD-ELE-001,Mechanical Keyboard,Electronics,True,True,124,2024-02-26,North America
INT-000110,CUST-0553,Dakota Rodriguez,Web,Online,Recommendation Click,PROD-STA-007,Paper Clips Box,Stationery,False,False,145,2024-08-07,North America
INT-000111,CUST-0350,John Phillips,Web,Online,Wishlist Add,PROD-ELE-000,Wireless Mouse,Electronics,False,False,121,2024-03-04,Asia Pacific
INT-000112,CUST-0181,Jacqueline Brooks,Social Media,Online,Search,PROD-FUR-005,Desk Lamp,Furniture,False,False,120,2024-07-24,Europe
INT-000113,CUST-0417,Jennifer Garner,Mobile App,Online,Wishlist Add,PROD-STA-001,Ballpoint Pen Pack,Stationery,True,True,125,2024-09-25,North America
INT-000114,CUST-0397,Julie Fritz,Web,Online,Search,,,,False,False,111,2024-03-04,North America
INT-000115,CUST-0077,Jay Brown,Web,Online,Browse,PROD-FUR-005,Desk Lamp,Furniture,True,False,123,2024-11-29,North America
INT-000116,CUST-0311,Victoria Marshall DVM,Store,Offline,Search,PROD-STA-001,Ballpoint Pen Pack,Stationery,True,False,135,2024-05-12,Asia Pacific
INT-000117,CUST-0266,Megan Ward,Social Media,Online,Support Chat,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,115,2024-06-28,North America
INT-000118,CUST-0561,Stephen Walker,Email,Online,Support Chat,,,,False,False,129,2024-12-24,Asia Pacific
INT-000119,CUST-0380,Eric Russell,Mobile App,Online,Browse,PROD-ELE-006,Laptop Stand,Electronics,False,False,117,2024-08-28,Europe
INT-000120,CUST-0489,Allison Lopez,Email,Online,Browse,PROD-STA-002,Highlighter Set,Stationery,False,False,106,2024-10-18,North America
INT-000121,CUST-0171,Brian Hanson,Web,Online,Search,PROD-ELE-004,Webcam 1080p,Electronics,True,False,100,2024-08-03,Asia Pacific
INT-000122,CUST-0474,Katie Lee,Web,Online,Support Chat,PROD-FUR-001,Monitor Arm,Furniture,True,False,122,2024-10-31,Europe
INT-000123,CUST-0014,Michael Klein,Store,Offline,Wishlist Add,PROD-FUR-007,Side Table,Furniture,True,False,119,2024-03-17,Asia Pacific
INT-000124,CUST-0030,Ashley Hernandez PhD,Store,Offline,Search,,,,False,False,117,2024-03-27,Europe
INT-000125,CUST-0449,Taylor Moss,Email,Online,Search,PROD-STA-005,Whiteboard Marker,Stationery,True,True,121,2024-11-17,Asia Pacific
INT-000126,CUST-0510,Mark Anderson,Web,Online,Browse,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,132,2024-01-10,North America
INT-000127,CUST-0088,Alex Coleman,Email,Online,Recommendation Click,,,,True,False,128,2024-04-29,Europe
INT-000128,CUST-0451,Taylor Adams,Mobile App,Online,Recommendation Click,PROD-STA-001,Ballpoint Pen Pack,Stationery,True,False,105,2024-03-21,North America
INT-000129,CUST-0036,Roger Bennett,Web,Online,Browse,,,,True,False,118,2024-05-25,Asia Pacific
INT-000130,CUST-0272,Amanda Foster,Email,Online,Store Visit,PROD-ELE-004,Webcam 1080p,Electronics,False,False,113,2024-01-03,Asia Pacific
INT-000131,CUST-0339,Melinda Smith,Mobile App,Online,Recommendation Click,PROD-STA-004,Document Folder,Stationery,False,False,119,2024-01-19,Europe
INT-000132,CUST-0209,Sharon Williams,Mobile App,Online,Recommendation Click,PROD-STA-005,Whiteboard Marker,Stationery,True,False,114,2024-08-22,Asia Pacific
INT-000133,CUST-0405,Dana Rice,Web,Online,Browse,,,,False,False,108,2024-02-04,North America
INT-000134,CUST-0281,Lisa Barry,Mobile App,Online,Store Visit,PROD-STA-003,Sticky Notes,Stationery,True,False,110,2024-08-02,North America
INT-000135,CUST-0046,Glenn Adkins,Web,Online,Search,,,,True,False,97,2024-02-19,North America
INT-000136,CUST-0480,Michelle Robinson,Web,Online,Add To Cart,,,,True,True,105,2024-11-21,North America
INT-000137,CUST-0062,Anthony Martinez,Web,Online,Support Chat,PROD-FUR-003,Bookshelf,Furniture,False,False,93,2024-01-23,Europe
INT-000138,CUST-0194,Michael Barry,Social Media,Online,Add To Cart,PROD-FUR-003,Bookshelf,Furniture,False,False,120,2024-12-24,Asia Pacific
INT-000139,CUST-0282,Nicole Douglas,Mobile App,Online,Search,PROD-ELE-003,Bluetooth Headphones,Electronics,True,True,134,2024-07-30,Europe
INT-000140,CUST-0215,Stacy Thompson,Mobile App,Online,Search,,,,False,False,116,2024-04-09,Europe
INT-000141,CUST-0270,Rachel Weiss,Mobile App,Online,Search,PROD-STA-000,Notebook A5,Stationery,True,False,103,2024-04-27,Europe
INT-000142,CUST-0468,Daniel Jones,Store,Offline,Search,,,,True,False,140,2024-07-24,North America
INT-000143,CUST-0508,Brandon Pierce,Store,Offline,Browse,,,,False,False,126,2024-05-23,Asia Pacific
INT-000144,CUST-0143,Kathleen Garcia,Web,Online,Recommendation Click,PROD-STA-003,Sticky Notes,Stationery,True,False,114,2024-12-27,Asia Pacific
INT-000145,CUST-0223,Lisa Bowen,Mobile App,Online,Browse,,,,False,False,121,2024-01-29,North America
INT-000146,CUST-0578,Keith Carey,Email,Online,Browse,,,,True,True,131,2024-03-30,Europe
INT-000147,CUST-0338,Victor Thomas,Social Media,Online,Add To Cart,PROD-ELE-003,Bluetooth Headphones,Electronics,True,False,132,2024-06-01,North America
INT-000148,CUST-0564,Lisa Smith,Web,Online,Support Chat,PROD-STA-004,Document Folder,Stationery,False,False,108,2024-02-11,North America
INT-000149,CUST-0226,Margaret Robinson,Store,Offline,Browse,PROD-FUR-006,Office Desk,Furniture,True,True,115,2024-03-19,North America
INT-000150,CUST-0248,Jason Gilbert,Social Media,Online,Search,PROD-FUR-007,Side Table,Furniture,False,False,134,2024-05-11,Asia Pacific
INT-000151,CUST-0257,Anthony Atkins,Mobile App,Online,Browse,,,,False,False,113,2024-05-22,Europe
INT-000152,CUST-0027,Matthew Mccann,Social Media,Online,Recommendation Click,PROD-ELE-000,Wireless Mouse,Electronics,True,False,138,2024-11-01,North America
INT-000153,CUST-0103,Tina Fields,Mobile App,Online,Search,PROD-FUR-007,Side Table,Furniture,True,True,150,2024-09-03,North America
INT-000154,CUST-0520,Shawn Gardner,Store,Offline,Recommendation Click,,,,False,False,105,2024-04-19,Asia Pacific
INT-000155,CUST-0327,Jenny Juarez,Mobile App,Online,Support Chat,,,,False,False,119,2024-04-12,Asia Pacific
INT-000156,CUST-0216,Brent Stokes,Mobile App,Online,Browse,,,,True,False,124,2024-04-25,North America
INT-000157,CUST-0094,Alexander Odom,Web,Online,Store Visit,PROD-STA-007,Paper Clips Box,Stationery,False,False,111,2024-12-08,North America
INT-000158,CUST-0089,James Rhodes,Web,Online,Browse,,,,False,False,124,2024-07-27,North America
INT-000159,CUST-0374,Mr. Corey Miller,Email,Online,Add To Cart,PROD-FUR-006,Office Desk,Furniture,True,True,118,2024-11-06,Asia Pacific
INT-000160,CUST-0226,Margaret Robinson,Call Center,Offline,Add To Cart,PROD-ELE-004,Webcam 1080p,Electronics,False,False,118,2024-08-27,North America
INT-000161,CUST-0457,Jose Fernandez,Store,Offline,Browse,PROD-ELE-004,Webcam 1080p,Electronics,False,False,121,2024-12-08,Asia Pacific
INT-000162,CUST-0262,William Smith,Social Media,Online,Search,PROD-FUR-007,Side Table,Furniture,False,False,111,2024-01-25,North America
INT-000163,CUST-0296,Mrs. Sandra White,Web,Online,Store Visit,PROD-FUR-005,Desk Lamp,Furniture,True,False,125,2024-11-26,North America
INT-000164,CUST-0256,Janet Morales,Store,Offline,Support Chat,PROD-STA-002,Highlighter Set,Stationery,False,False,148,2024-08-30,Europe
INT-000165,CUST-0027,Matthew Mccann,Mobile App,Online,Recommendation Click,PROD-FUR-001,Monitor Arm,Furniture,True,False,106,2024-05-16,Europe
INT-000166,CUST-0376,Dennis Martinez,Store,Offline,Support Chat,PROD-ELE-002,USB-C Hub,Electronics,True,True,113,2024-12-15,North America
INT-000167,CUST-0501,Janice Burns,Email,Online,Recommendation Click,PROD-ELE-004,Webcam 1080p,Electronics,False,False,107,2024-03-31,Europe
INT-000168,CUST-0184,Jessica Smith,Web,Online,Add To Cart,PROD-STA-002,Highlighter Set,Stationery,False,False,128,2024-06-25,Europe
INT-000169,CUST-0203,Andrew Arnold,Mobile App,Online,Recommendation Click,PROD-STA-000,Notebook A5,Stationery,False,False,116,2024-11-29,North America
INT-000170,CUST-0451,Taylor Adams,Web,Online,Browse,PROD-FUR-000,Standing Desk Mat,Furniture,True,True,120,2024-04-20,North America
INT-000171,CUST-0264,Dr. Robert Howard Jr.,Email,Online,Store Visit,,,,False,False,119,2024-11-21,Europe
INT-000172,CUST-0295,Lori Griffin,Web,Online,Search,PROD-STA-001,Ballpoint Pen Pack,Stationery,False,False,132,2024-09-17,North America
INT-000173,CUST-0135,Taylor Santos,Call Center,Offline,Recommendation Click,,,,False,False,114,2024-10-01,Asia Pacific
INT-000174,CUST-0160,Nathan Walker,Store,Offline,Store Visit,PROD-STA-006,Stapler,Stationery,True,True,117,2024-04-18,North America
INT-000175,CUST-0135,Taylor Santos,Store,Offline,Browse,PROD-FUR-003,Bookshelf,Furniture,False,False,106,2024-12-31,North America
INT-000176,CUST-0488,Scott Garza,Web,Online,Browse,PROD-ELE-000,Wireless Mouse,Electronics,True,True,129,2024-06-06,Asia Pacific
INT-000177,CUST-0405,Dana Rice,Mobile App,Online,Recommendation Click,PROD-ELE-000,Wireless Mouse,Electronics,False,False,91,2024-11-24,North America
INT-000178,CUST-0311,Victoria Marshall DVM,Email,Online,Browse,,,,True,True,109,2024-06-08,North America
INT-000179,CUST-0287,Tracy Waters,Email,Online,Wishlist Add,,,,True,False,139,2024-12-29,Europe
INT-000180,CUST-0437,Charles Hendricks,Call Center,Offline,Browse,PROD-ELE-004,Webcam 1080p,Electronics,False,False,113,2024-03-08,North America
INT-000181,CUST-0360,Christine Martinez,Email,Online,Recommendation Click,PROD-ELE-006,Laptop Stand,Electronics,True,False,117,2024-05-27,North America
INT-000182,CUST-0508,Brandon Pierce,Mobile App,Online,Browse,PROD-STA-002,Highlighter Set,Stationery,True,False,133,2024-10-13,North America
INT-000183,CUST-0324,Amy Giles,Web,Online,Browse,PROD-ELE-007,HDMI Cable,Electronics,False,False,106,2024-02-28,Asia Pacific
INT-000184,CUST-0563,Jonathan Mata,Store,Offline,Search,PROD-FUR-007,Side Table,Furniture,False,False,128,2024-09-29,Asia Pacific
INT-000185,CUST-0403,Joy Carter,Web,Online,Browse,PROD-STA-004,Document Folder,Stationery,True,False,138,2024-10-10,Europe
INT-000186,CUST-0441,Desiree Phillips,Store,Offline,Add To Cart,,,,False,False,127,2024-02-27,North America
INT-000187,CUST-0590,Matthew Johnson,Mobile App,Online,Wishlist Add,,,,True,False,135,2024-07-08,North America
INT-000188,CUST-0472,John Stevenson,Mobile App,Online,Store Visit,PROD-ELE-005,Portable SSD,Electronics,True,False,125,2024-10-08,Asia Pacific
INT-000189,CUST-0192,Shannon Sanchez,Web,Online,Browse,PROD-STA-005,Whiteboard Marker,Stationery,True,False,134,2024-11-03,Europe
INT-000190,CUST-0237,Alexandra Foster,Social Media,Online,Browse,PROD-STA-004,Document Folder,Stationery,False,False,135,2024-11-13,Europe
INT-000191,CUST-0477,Anthony Rodriguez,Mobile App,Online,Recommendation Click,PROD-ELE-005,Portable SSD,Electronics,False,False,127,2024-05-15,North America
INT-000192,CUST-0446,Ryan Garcia,Mobile App,Online,Search,PROD-ELE-007,HDMI Cable,Electronics,False,False,131,2024-03-14,North America
INT-000193,CUST-0101,Walter Stone,Mobile App,Online,Browse,,,,True,True,110,2024-11-26,Asia Pacific
INT-000194,CUST-0052,Brian Fuentes,Web,Online,Browse,PROD-ELE-001,Mechanical Keyboard,Electronics,False,False,122,2024-01-14,Asia Pacific
INT-000195,CUST-0378,Julia Oneill,Email,Online,Wishlist Add,,,,True,False,119,2024-06-02,Europe
INT-000196,CUST-0477,Anthony Rodriguez,Web,Online,Browse,,,,True,False,133,2024-11-18,North America
INT-000197,CUST-0459,Claudia Doyle,Web,Online,Browse,,,,True,False,113,2024-04-14,Europe
INT-000198,CUST-0373,Jeffrey Smith,Store,Offline,Wishlist Add,PROD-STA-006,Stapler,Stationery,False,False,100,2024-09-03,North America
INT-000199,CUST-0198,Stephanie Smith,Mobile App,Online,Browse,,,,True,False,121,2024-06-10,North America
INT-000200,CUST-0432,Patricia Barnett,Mobile App,Online,Search,PROD-FUR-006,Office Desk,Furniture,False,False,123,2024-02-13,Europe
INT-000201,CUST-0043,James Garner,Mobile App,Online,Search,PROD-STA-005,Whiteboard Marker,Stationery,False,False,118,2024-06-20,Asia Pacific
INT-000202,CUST-0387,Virginia Johnson,Web,Online,Browse,,,,False,False,108,2024-06-07,North America
